datetime,open,high,low,close,volume,turnover,open_interest
2023-11-29 22:15:00,6147.16,6149.98,6142.63,6147.16,11712,1079357295.00,1029851
2023-11-29 22:20:00,6149.21,6151.73,6143.28,6149.21,12246,1129009290.00,1029982
2023-11-29 22:25:00,6152.60,6153.06,6146.28,6152.60,11011,1015427655.00,1030228
2023-11-29 22:30:00,6156.21,6161.87,6152.06,6156.21,19545,1804709205.00,1031387
2023-11-29 22:35:00,6155.93,6162.77,6154.33,6155.93,21189,1956605055.00,1032172
2023-11-29 22:40:00,6166.11,6168.42,6154.41,6166.11,23449,2166773610.00,1033270
2023-11-29 22:45:00,6167.26,6173.54,6164.33,6167.26,25227,2333151030.00,1036027
2023-11-29 22:50:00,6168.27,6171.56,6166.46,6168.27,16392,1515888420.00,1036539
2023-11-29 22:55:00,6168.82,6170.44,6166.08,6168.82,9893,914925810.00,1037560
2023-11-29 23:00:00,6174.77,6180.17,6168.60,6174.77,23326,2159777370.00,1039660
2023-11-29 23:05:00,6187.47,6187.84,6174.77,6187.47,26913,2494879935.00,1044297
2023-11-29 23:10:00,6167.49,6193.07,6163.71,6167.49,53754,4981288020.00,1044693
2023-11-29 23:15:00,6168.22,6169.85,6157.87,6168.22,32877,3038767815.00,1044806
2023-11-29 23:20:00,6165.75,6176.27,6162.93,6165.75,21413,1980741225.00,1044934
2023-11-29 23:25:00,6159.10,6165.21,6156.82,6159.10,22240,2054570280.00,1043663
2023-11-29 23:30:00,6162.90,6165.59,6157.40,6162.90,12608,1164709920.00,1044389
2023-11-29 23:35:00,6152.37,6164.48,6150.84,6152.37,13820,1276061955.00,1042466
2023-11-29 23:40:00,6157.28,6159.00,6152.43,6157.28,11028,1018000710.00,1042825
2023-11-29 23:45:00,6159.70,6159.71,6153.24,6159.70,12446,1148869245.00,1042141
2023-11-29 23:50:00,6163.34,6164.62,6158.16,6163.34,9795,904841760.00,1041684
2023-11-29 23:55:00,6165.79,6168.07,6163.17,6165.79,8805,814059870.00,1041661
2023-11-30 00:00:00,6162.86,6165.79,6162.16,6162.86,5827,538534185.00,1041448
2023-11-30 00:05:00,6158.94,6164.52,6155.50,6158.94,8833,815687910.00,1040726
2023-11-30 00:10:00,6153.37,6160.67,6151.05,6153.37,9652,890739105.00,1039946
2023-11-30 00:15:00,6153.06,6156.84,6153.05,6153.06,6069,560095635.00,1040095
2023-11-30 00:20:00,6141.04,6153.78,6140.04,6141.04,15281,1408133055.00,1037640
2023-11-30 00:25:00,6139.91,6141.58,6134.35,6139.91,16332,1503157725.00,1035963
2023-11-30 00:30:00,6136.35,6141.29,6134.20,6136.35,9786,900637605.00,1035503
2023-11-30 00:35:00,6139.26,6139.50,6134.45,6139.26,6009,552932190.00,1034943
2023-11-30 00:40:00,6142.06,6145.39,6137.96,6142.06,8841,814152270.00,1035017
2023-11-30 00:45:00,6139.74,6142.06,6135.18,6139.74,6162,567176040.00,1035322
2023-11-30 00:50:00,6141.81,6142.49,6137.45,6141.81,3873,356577135.00,1035370
2023-11-30 00:55:00,6139.60,6142.81,6138.78,6139.60,3591,330642210.00,1035357
2023-11-30 01:00:00,6142.78,6142.86,6139.58,6142.78,3596,331099365.00,1035191
2023-11-30 01:05:00,6142.45,6145.60,6139.26,6142.45,8706,801773010.00,1035534
2023-11-30 01:10:00,6145.65,6146.85,6142.42,6145.65,4550,419189700.00,1035315
2023-11-30 01:15:00,6148.08,6148.97,6145.15,6148.08,4352,401134590.00,1035019
2023-11-30 01:20:00,6145.25,6148.13,6144.72,6145.25,4831,445214640.00,1035204
2023-11-30 01:25:00,6149.51,6149.51,6144.39,6149.51,3024,278729205.00,1035002
2023-11-30 01:30:00,6156.11,6157.68,6148.98,6156.11,9104,840085425.00,1035712
2023-11-30 01:35:00,6157.84,6158.72,6155.25,6157.84,4011,370251825.00,1035787
2023-11-30 01:40:00,6157.41,6158.52,6156.31,6157.41,2668,246297915.00,1035867
2023-11-30 01:45:00,6158.36,6158.46,6155.34,6158.36,3702,341779995.00,1035754
2023-11-30 01:50:00,6159.28,6161.91,6157.97,6159.28,4500,415614615.00,1034972
2023-11-30 01:55:00,6159.74,6159.81,6158.02,6159.74,1551,143250240.00,1034737
2023-11-30 02:00:00,6158.08,6160.82,6157.25,6158.08,2788,257462625.00,1034570
2023-11-30 02:05:00,6160.27,6161.15,6156.77,6160.27,3484,321708540.00,1034407
2023-11-30 02:10:00,6156.83,6160.27,6156.83,6156.83,2065,190715550.00,1034358
2023-11-30 02:15:00,6156.22,6157.08,6155.28,6156.22,1934,178523850.00,1034274
2023-11-30 02:20:00,6152.17,6156.25,6152.00,6152.17,2927,270056325.00,1033561
2023-11-30 02:25:00,6150.69,6152.17,6149.75,6150.69,3659,337420035.00,1032891
2023-11-30 02:30:00,6157.12,6159.82,6148.95,6157.12,5045,465436155.00,1031299
2023-11-30 09:05:00,6146.43,6163.42,6145.42,6146.43,33665,3106422645.00,1028898
2023-11-30 09:10:00,6141.29,6152.77,6138.91,6141.29,16633,1532619150.00,1027176
2023-11-30 09:15:00,6143.34,6147.50,6141.14,6143.34,9029,831955635.00,1026429
2023-11-30 09:20:00,6136.82,6144.41,6129.39,6136.82,16421,1510826685.00,1023513
2023-11-30 09:25:00,6138.23,6141.40,6136.15,6138.23,6590,606630525.00,1023841
2023-11-30 09:30:00,6140.68,6141.77,6135.93,6140.68,6806,626395575.00,1023527
2023-11-30 09:35:00,6142.84,6143.70,6137.01,6142.84,7419,682942230.00,1022957
2023-11-30 09:40:00,6135.24,6142.81,6134.77,6135.24,6863,631656255.00,1022448
2023-11-30 09:45:00,6136.60,6138.35,6131.91,6136.60,7762,714066390.00,1020927
2023-11-30 09:50:00,6136.10,6137.75,6134.16,6136.10,4925,453135300.00,1020338
2023-11-30 09:55:00,6126.96,6136.89,6126.35,6126.96,11068,1017576600.00,1018396
2023-11-30 10:00:00,6129.04,6131.81,6125.29,6129.04,9112,837267270.00,1018188
2023-11-30 10:05:00,6136.93,6137.58,6125.98,6136.93,8799,809090085.00,1018729
2023-11-30 10:10:00,6140.59,6140.61,6136.15,6140.59,6416,590547660.00,1019273
2023-11-30 10:15:00,6141.13,6141.96,6138.35,6141.13,5874,540756150.00,1019053
